Rent,Deposit,DoB,Meterage,FloorNum,Area,District,NoB,Elevator,Parking,Storage,Balcony,link
25000000,450000000,1404,130,2,گلسار,1,3,1,1,1,0,https://divar.ir/v/%DB%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%DB%B3-%D8%A8%D8%B1-%D8%AF%DB%8C%D9%84%D9%85%D8%A7%D9%86-%D8%A7%D9%88%D9%84-%D8%AD%D8%B3%D8%A7%D8%A8%DB%8C/AaHsHAhh
8000000,200000000,1391,75,2,آزادگان,4,2,1,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-2%D8%B7%D8%A8%D9%82%D9%87-2%D9%88%D8%A7%D8%AD%D8%AF-%D9%82%D9%84%DB%8C-%D9%BE%D9%88%D8%B1/AaGcHOJd
3000000,400000000,1385,80,3,استقامت,2,2,0,1,1,0,https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B8%DB%B0%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B7%D8%A8%D9%82%D9%87-%DB%B3-%D8%A7%D8%B3%D8%AA%D9%82%D8%A7%D9%85%D8%AA%DB%B1/AaJIQu6u
6000000,150000000,1395,100,1,استقامت,2,1,0,1,1,0,https://divar.ir/v/%D8%B7%D8%A8%D9%82%D9%87-%D8%A7%D9%88%D9%84-%D8%A8%D8%A7-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%A7%D8%AE%D8%AA%D8%B5%D8%A7%D8%B5%DB%8C-%D8%A8%D8%A7-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%B4%D9%87%D8%B1%DB%8C/AaaAn3gA
7500000,320000000,1380,116,1,اسماعیل آباد,1,2,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B1%DB%B6-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%87%D9%85%DA%A9%D9%81/AaHs3QAd
6000000,250000000,1401,85,2,اسماعیل آباد,1,2,0,0,0,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B8%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D8%B1-%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86-%D8%A7%D8%B1%D8%B4%D8%A7%D8%AF-%D8%A7%D9%86%D8%B5%D8%A7%D8%B1%DB%8C/wZyvjxl5
7000000,200000000,1385,78,4,انصاری,1,2,1,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%DB%B7%DB%B8-%D9%85%D8%AA%D8%B1%DB%8C-%D8%A7%D9%86%D8%B5%D8%A7%D8%B1%DB%8C-%D9%81%D8%B1%D8%B2%D8%A7%D9%86%D9%87/AaFg--oT
4000000,500000000,1386,90,3,انصاری,1,2,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B9%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D8%B1-%D8%A8%D9%87%D8%A7%D8%B1%D8%A7%D9%86/AaJUgVCz
5000000,350000000,1390,70,1,باهنر,4,2,1,0,1,0,https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C/AaGcBq0y
5500000,350000000,1403,100,1,باهنر,4,2,1,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-100%D9%85%D8%AA%D8%B1%DB%8C-%D8%A8%D8%A7-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF/AaMw_8zt
